id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,delta_points
43935,1,Belgium,BEL,1755,10705020,0,UEFA,2019-10-24,-10703265
43946,2,France,FRA,1726,10705020,0,UEFA,2019-10-24,-10703294
43924,3,Brazil,BRA,1715,10705020,0,CONMEBOL,2019-10-24,-10703305
43942,4,England,ENG,1651,10705020,0,UEFA,2019-10-24,-10703369
43930,5,Uruguay,URU,1642,10705020,0,CONMEBOL,2019-10-24,-10703378
43963,6,Portugal,POR,1632,10705020,0,UEFA,2019-10-24,-10703388
43938,7,Croatia,CRO,1631,10705020,0,UEFA,2019-10-24,-10703389
43969,8,Spain,ESP,1625,10705020,0,UEFA,2019-10-24,-10703395
43922,9,Argentina,ARG,1617,10705020,0,CONMEBOL,2019-10-24,-10703403
43926,10,Colombia,COL,1615,10705020,0,CONMEBOL,2019-10-24,-10703405
43911,11,Mexico,MEX,1613,10705020,0,CONCACAF,2019-10-24,-10703407
43960,12,Netherlands,NED,1602,10705020,0,UEFA,2019-10-24,-10703418
43971,13,Switzerland,SUI,1601,10705020,0,UEFA,2019-10-24,-10703419
43941,14,Denmark,DEN,1599,10705020,0,UEFA,2019-10-24,-10703421
43954,15,Italy,ITA,1593,10705020,0,UEFA,2019-10-24,-10703427
43948,16,Germany,GER,1586,10705020,0,UEFA,2019-10-24,-10703434
43925,17,Chile,CHI,1579,10705020,0,CONMEBOL,2019-10-24,-10703441
43970,18,Sweden,SWE,1563,10705020,0,UEFA,2019-10-24,-10703457
43929,19,Peru,PER,1548,10705020,0,CONMEBOL,2019-10-24,-10703472
43879,20,Senegal,SEN,1546,10705020,0,CAF,2019-10-24,-10703474
43962,21,Poland,POL,1544,10705020,0,UEFA,2019-10-24,-10703476
43973,22,Ukraine,UKR,1536,10705020,0,UEFA,2019-10-24,-10703484
43921,23,USA,USA,1530,10705020,0,CONCACAF,2019-10-24,-10703490
43974,24,Wales,WAL,1524,10705020,0,UEFA,2019-10-24,-10703496
43934,25,Austria,AUT,1520,10705020,0,UEFA,2019-10-24,-10703500
43931,26,Venezuela,VEN,1512,10705020,0,CONMEBOL,2019-10-24,-10703508
43817,27,IR Iran,IRN,1505,10705020,0,AFC,2019-10-24,-10703515
43819,28,Japan,JPN,1498,10705020,0,AFC,2019-10-24,-10703522
43888,29,Tunisia,TUN,1495,10705020,0,CAF,2019-10-24,-10703525
43964,29,Romania,ROU,1495,10705020,0,UEFA,2019-10-24,-10703525
44002,31,Slovakia,SVK,1493,10705020,0,UEFA,2019-10-24,-10703527
43972,32,Turkey,TUR,1490,10705020,0,UEFA,2019-10-24,-10703530
1902465,33,Serbia,SRB,1485,10705020,0,UEFA,2019-10-24,-10703535
43952,34,Northern Ireland,NIR,1483,10705020,0,UEFA,2019-10-24,-10703537
43876,35,Nigeria,NGA,1481,10705020,0,CAF,2019-10-24,-10703539
43953,36,Republic of Ireland,IRL,1480,10705020,0,UEFA,2019-10-24,-10703540
43965,37,Russia,RUS,1474,10705020,0,UEFA,2019-10-24,-10703546
43843,38,Algeria,ALG,1469,10705020,0,CAF,2019-10-24,-10703551
43822,39,Korea Republic,KOR,1466,10705020,0,AFC,2019-10-24,-10703554
43951,40,Iceland,ISL,1460,10705020,0,UEFA,2019-10-24,-10703560
43928,41,Paraguay,PAR,1458,10705020,0,CONMEBOL,2019-10-24,-10703562
43872,42,Morocco,MAR,1457,10705020,0,CAF,2019-10-24,-10703563
43995,43,Czech Republic,CZE,1454,10705020,0,UEFA,2019-10-24,-10703566
43976,44,Australia,AUS,1450,10705020,0,AFC,2019-10-24,-10703570
43961,45,Norway,NOR,1441,10705020,0,UEFA,2019-10-24,-10703579
43910,45,Jamaica,JAM,1441,10705020,0,CONCACAF,2019-10-24,-10703579
43901,47,Costa Rica,CRC,1436,10705020,0,CONCACAF,2019-10-24,-10703584
44037,48,Bosnia and Herzegovina,BIH,1435,10705020,0,UEFA,2019-10-24,-10703585
43855,49,Egypt,EGY,1433,10705020,0,CAF,2019-10-24,-10703587
43950,50,Hungary,HUN,1429,10705020,0,UEFA,2019-10-24,-10703591
43860,51,Ghana,GHA,1426,10705020,0,CAF,2019-10-24,-10703594
43849,52,Cameroon,CMR,1409,10705020,0,CAF,2019-10-24,-10703611
43967,53,Scotland,SCO,1406,10705020,0,UEFA,2019-10-24,-10703614
20014,54,Congo DR,COD,1399,10705020,0,CAF,2019-10-24,-10703621
43945,55,Finland,FIN,1395,10705020,0,UEFA,2019-10-24,-10703625
43854,56,Côte d'Ivoire,CIV,1392,10705020,0,CAF,2019-10-24,-10703628
43834,57,Qatar,QAT,1391,10705020,0,AFC,2019-10-24,-10703629
43949,58,Greece,GRE,1388,10705020,0,UEFA,2019-10-24,-10703632
43869,59,Mali,MLI,1386,10705020,0,CAF,2019-10-24,-10703634
43847,60,Burkina Faso,BFA,1378,10705020,0,CAF,2019-10-24,-10703642
43936,61,Bulgaria,BUL,1371,10705020,0,UEFA,2019-10-24,-10703649
999,61,Montenegro,MNE,1371,10705020,0,UEFA,2019-10-24,-10703649
43909,63,Honduras,HON,1368,10705020,0,CONCACAF,2019-10-24,-10703652
